query_id,method,recall_at_5,recall_at_10,mrr_at_10,future_at_5,preferred_source_at_5,top_ids
adobe_2015_ocf_ratio,hybrid,1.0,1.0,1.0,0.6,1.0,doc-5a395fcbf5c373a7689a;doc-d79330608d2e23fb43f4;doc-fa0475dad5fe280af625;doc-bad401660b9965a342a4;doc-b2cf518d35aad872acd8
adobe_2015_ocf_ratio,temporal,1.0,1.0,1.0,0.4,1.0,doc-5a395fcbf5c373a7689a;doc-d79330608d2e23fb43f4;doc-fa0475dad5fe280af625;doc-bad401660b9965a342a4;doc-bf45d8336eefc38297dd
adobe_2016_operating_income_growth,bm25,1.0,1.0,0.5,0.6,1.0,doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-92d202f4355825c8f97d;doc-1ed850320c1ed3c0bc3b;doc-bad401660b9965a342a4
adobe_2016_operating_income_growth,hybrid,1.0,1.0,1.0,0.4,1.0,doc-bf45d8336eefc38297dd;doc-b2cf518d35aad872acd8;doc-92d202f4355825c8f97d;doc-1ed850320c1ed3c0bc3b;doc-fa0475dad5fe280af625
adobe_2016_operating_income_growth,temporal,1.0,1.0,1.0,0.4,1.0,doc-bf45d8336eefc38297dd;doc-b2cf518d35aad872acd8;doc-92d202f4355825c8f97d;doc-1ed850320c1ed3c0bc3b;doc-31cb4aa85af217b8d71d
adobe_2017_ocf_ratio,bm25,1.0,1.0,0.25,0.2,1.0,doc-5a395fcbf5c373a7689a;doc-d79330608d2e23fb43f4;doc-bad401660b9965a342a4;doc-fa0475dad5fe280af625;doc-bf45d8336eefc38297dd
adobe_2017_ocf_ratio,hybrid,1.0,1.0,0.3333333333333333,0.4,1.0,doc-d79330608d2e23fb43f4;doc-5a395fcbf5c373a7689a;doc-fa0475dad5fe280af625;doc-bad401660b9965a342a4;doc-6256d8fe3d6bebdf0ea9
adobe_2017_ocf_ratio,temporal,1.0,1.0,0.3333333333333333,0.2,1.0,doc-5a395fcbf5c373a7689a;doc-d79330608d2e23fb43f4;doc-fa0475dad5fe280af625;doc-bad401660b9965a342a4;doc-b2cf518d35aad872acd8
adobe_2022_operating_margin,bm25,1.0,1.0,1.0,0.4,0.8,doc-1ed850320c1ed3c0bc3b;doc-92d202f4355825c8f97d;doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-58bffefff2f639089b2b
adobe_2022_operating_margin,hybrid,1.0,1.0,1.0,0.2,0.8,doc-1ed850320c1ed3c0bc3b;doc-92d202f4355825c8f97d;doc-bf45d8336eefc38297dd;doc-b2cf518d35aad872acd8;doc-8916113c20711525cd14
adobe_2022_operating_margin,temporal,1.0,1.0,1.0,0.2,1.0,doc-1ed850320c1ed3c0bc3b;doc-92d202f4355825c8f97d;doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-a764f24e721b63afd60f
aes_2022_inventory_turnover,bm25,1.0,1.0,0.5,0.2,1.0,doc-fde5dc2f68a33218c581;doc-1b63d9d9be41aed07ef6;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-bf45d8336eefc38297dd
aes_2022_inventory_turnover,hybrid,1.0,1.0,0.5,0.2,1.0,doc-fde5dc2f68a33218c581;doc-1b63d9d9be41aed07ef6;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-bf45d8336eefc38297dd
aes_2022_inventory_turnover,temporal,1.0,1.0,1.0,0.2,1.0,doc-1b63d9d9be41aed07ef6;doc-fde5dc2f68a33218c581;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-a764f24e721b63afd60f
activision_2019_fixed_asset_turnover,bm25,1.0,1.0,0.5,0.4,1.0,doc-a28fc854f14dd95b142b;doc-4f4fb842ad979465d9c5;doc-1b63d9d9be41aed07ef6;doc-fde5dc2f68a33218c581;doc-a764f24e721b63afd60f
activision_2019_fixed_asset_turnover,hybrid,1.0,1.0,1.0,0.6,1.0,doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-1b63d9d9be41aed07ef6;doc-fde5dc2f68a33218c581;doc-8696ad14cfd6a6f76e3e
activision_2019_fixed_asset_turnover,temporal,1.0,1.0,1.0,0.4,1.0,doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-1b63d9d9be41aed07ef6;doc-fde5dc2f68a33218c581;doc-c37c714b244c1b76459f
activision_capex_revenue_avg,bm25,1.0,1.0,0.5,0.4,1.0,doc-8696ad14cfd6a6f76e3e;doc-c37c714b244c1b76459f;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-bf45d8336eefc38297dd
activision_capex_revenue_avg,hybrid,1.0,1.0,1.0,0.4,1.0,doc-c37c714b244c1b76459f;doc-8696ad14cfd6a6f76e3e;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-fa0475dad5fe280af625
activision_capex_revenue_avg,temporal,1.0,1.0,1.0,0.2,1.0,doc-c37c714b244c1b76459f;doc-8696ad14cfd6a6f76e3e;doc-bf45d8336eefc38297dd;doc-b2cf518d35aad872acd8;doc-4f4fb842ad979465d9c5
